ITEMSETS|SUPPORT_COUNT1|2300
14|231
15|524
17|104
25|168
27|115
41|72
56|192
58|563
61|131
73|188
89|93
99|431
100|98
124|98
140|80
142|151
143|79
144|203
168|161
179|159
188|105
196|75
227|370
230|85
250|98
254|170
258|100
259|297
260|98
266|88
274|886
277|115
281|272
282|75
289|92
297|281
299|73
314|80
326|654
334|175
335|192
346|157
348|344
357|186
360|100
371|117
372|171
379|146
389|100
399|108
411|246
429|220
430|151
432|117
434|80
435|176
436|152
449|83
460|84
465|253
467|87
469|88
474|140
490|72
508|130
510|80
528|158
534|210
540|125
543|184
544|171
550|105
554|73
579|82
580|118
609|74
618|77
649|301
660|74
672|96
694|137
709|85
710|71
726|108
748|123
749|116
750|73
751|90
764|305
772|113
777|99
780|132
806|98
818|82
823|428
910|73
916|93
961|182
971|311
998|136
1010|120
1030|74
1032|103
1034|72
1045|93
1048|170
1054|86
1055|230
1065|134
1074|115
1081|72
1085|79
1086|162
1092|73
1106|95
1108|264
1124|141
1133|128
1145|86
1150|430
1162|70
1169|109
1175|76
1190|74
1192|103
1195|101
1203|116
1210|79
1259|73
1262|139
1271|223
1273|115
1284|106
1285|428
1293|110
1304|181
1306|87
1322|96
1341|81
1342|168
1358|84
1397|73
1407|81
1439|75
1515|122
1528|72
1529|81
1568|76
1569|113
1571|89
1584|77
1612|107
1616|73
1646|98
1684|97
1726|97
1728|73
1729|74
1738|72
1749|314
1774|82
1779|70
1789|75
1805|91
1817|126
1821|102
1825|81
1832|100
1848|102
1873|99
1898|71
1931|70
1950|101
1961|105
1981|128
1997|78
2028|129
2068|72
2069|89
2114|96
2123|153
2259|75
2292|233
2354|72
2475|103
2478|84
2483|86
2550|77
2571|71
2580|130
2680|80
2682|88
2717|126
2733|131
2737|99
2738|75
2760|78
2762|125
2825|131
2895|77
2934|110
3235|88
3287|75
3296|85
3339|72
3352|72
3528|73
3533|85
3583|94
3815|128
3826|92
3850|102
4000|81
4292|74
4355|121
4782|89
4944|81
5255|95
5583|100
5683|73
5726|80
6245|87
6258|76
6740|75
7485|82
